LID	Language	Stock	SlotArray	Atr	P	fisher.p	crmv	crmv.crct
2996	Yakkha	Sino-Tibetan	-1,1,10,11,12,2,3,4,5,6,7,8,9	1,1,1,0,0,1,0,1,0,0,0,1,1	0,1,1,0,0,1,0,1,1,0,1,0,1	1	0.535	0
637	Yamphu	Sino-Tibetan	1,2,3,4,5,6,7,8,9	0,2,0,3,0,1,2,1,1	0,2,0,3,1,1,2,1,1	1	0.213	0
1439	Dumi	Sino-Tibetan	-1,1,2,3,4	1,0,6,0,2	1,0,6,0,2	1	0	0
12	Ainu	Ainu	-1,-2,1	0,4,0	2,2,0	0.429055709442906	0.577	0.471
2882	Berber (Kabyle)	Berber	-1,1,2	3,4,1	0,0,6	0.00459995400046	0.866	0.804
3007	Bahing	Sino-Tibetan	1,2,3,4,5,6	1,0,9,1,1,0	1,2,5,1,0,2	0.371816281837182	0.515	0.201
2998	Jero	Sino-Tibetan	1,2,3	5,3,1	2,1,1	1	0.181	0
885	Amuesha	Arawakan	-1,1,2	4,1,0	0,0,6	0.002119978800212	1	0.943
923	Arapaho	Algic	1,1a,1b,2,3	0,3,1,8,2	0,4,1,8,2	1	0.061	0
3062	Iyo	Finisterre-Huon	-1,1,2,3,4	0,0,0,0,5	3,1,0,0,0	0.00798992010079899	1	0.926
2172	Nganasan	Uralic	1,2	0,9	2,0	0.0181818181818182	1	1
3068	Emerillon	Tupian	-1,-2	0,6	1,5	1	0.302	0
871	Araki	Austronesian	-1,1	7,0	0,1	0.125	1	1
2251	Olo	Torricelli	-1,0,1	7,0,0	0,1,4	0.00129998700013	1	0.949
667	Thulung (Mukli)	Sino-Tibetan	1,2,3,4,5,6	2,0,4,1,1,1	4,0,3,1,1,1	0.938990610093899	0.2	0
2548	Teso	Nilotic	-1,-2,1	5,0,1	3,1,0	0.66610333896661	0.468	0
2001	Micmac	Algic	1,2,3,4,5	1,1,1,7,3	1,0,3,5,3	0.805521944780552	0.303	0
3131	Guaraní (Mbyá)	Tupian	-1,-2	0,6	1,6	1	0.267	0
27	Atakapa	Atakapa	-1,1	0,4	6,0	0.00476190476190476	1	1
1063	Baure	Arawakan	-1,1	6,0	0,2	0.0357142857142857	1	1
2865	Wambule	Sino-Tibetan	1,2,3	10,2,2	9,2,1	1	0.095	0
1142	Cheyenne	Algic	-1,1,2,3,4,5,6	3,2,1,1,1,3,2	3,2,1,2,1,3,3	1	0.118	0
2980	Koyi	Sino-Tibetan	1,2,3,4	3,1,5,1	6,0,5,1	0.738262617373826	0.289	0
361	Swahili	Benue-Congo	-1,-2,-3	0,0,5	5,0,0	0.00818991810081899	1	1
3044	Gurage (Sebat Bet)	Semitic	-1,1,1IPFV,1PFV,2	4,0,3,6,0	0,0,0,0,6	6.99993000069999e-05	1	0.939
460	Jacaltec	Mayan	-1,-2	4,0	0,4	0.0285714285714286	1	1
681	Khanty	Uralic	1,2,3	0,0,8	0,3,0	0.00586994130058699	1	1
35	Belhare	Sino-Tibetan	-1,-2,-3,1,2,3,4,5,6,7,8,9	0,0,1,0,0,1,2,0,0,2,1,2	2,0,0,1,0,1,2,1,0,0,1,1	0.724122758772412	0.638	0
2958	Keresan (Laguna)	Keresan	1,2,3,4,5,6,7	0,0,0,0,0,0,2	0,1,0,0,0,0,0	0.330526694733053	1	1
337	Quiche	Mayan	-1,-2	6,0	0,5	0.00216450216450217	1	1
2999	Old Thulung (Mukli)	Sino-Tibetan	1,2,3,4,5,6	1,0,4,1,1,1	3,0,3,1,1,1	0.929090709092909	0.253	0
59	Cree (Plains)	Algic	-1,1,2,3,4,5,6,7	2,0,3,1,0,5,0,2	2,0,4,0,0,5,0,2	1	0.21	0
2956	Kõic	Sino-Tibetan	1,2,3	2,4,9	1,4,5	0.845881541184588	0.141	0
1348	Nubian (Kunuz)	Nubian	1,2,3,4,5,6,7	0,0,0,0,0,0,4	0,0,1,0,0,0,0	0.200387996120039	1	1
9	Acehnese	Austronesian	1,2,3	5,0,0	0,0,5	0.00800991990080099	1	1
1775	Kulung	Sino-Tibetan	1,2,3,4,5	2,2,0,1,1	4,4,1,0,1	0.850331496685033	0.394	0
