LID	Language	Stock	SlotArray	Atr	P
2980	Koyi	Sino-Tibetan	1,2,3,4	3,1,5,1	6,0,5,1
361	Swahili	Benue-Congo	-1,-2,-3	0,0,5	5,0,0
3044	Gurage (Sebat Bet)	Semitic	-1,1,1IPFV,1PFV,2	4,0,3,6,0	0,0,0,0,6
460	Jacaltec	Mayan	-1,-2	4,0	0,4
681	Khanty	Uralic	1,2,3	0,0,8	0,3,0
35	Belhare	Sino-Tibetan	-1,-2,-3,1,2,3,4,5,6,7,8,9	0,0,1,0,0,1,2,0,0,2,1,2	2,0,0,1,0,1,2,1,0,0,1,1
2958	Keresan (Laguna)	Keresan	1,2,3,4,5,6,7	0,0,0,0,0,0,2	0,1,0,0,0,0,0
337	Quiche	Mayan	-1,-2	6,0	0,5
2999	Old Thulung (Mukli)	Sino-Tibetan	1,2,3,4,5,6	1,0,4,1,1,1	3,0,3,1,1,1
59	Cree (Plains)	Algic	-1,1,2,3,4,5,6,7	2,0,3,1,0,5,0,2	2,0,4,0,0,5,0,2
2956	Kõic	Sino-Tibetan	1,2,3	2,4,9	1,4,5
1348	Nubian (Kunuz)	Nubian	1,2,3,4,5,6,7	0,0,0,0,0,0,4	0,0,1,0,0,0,0
9	Acehnese	Austronesian	1,2,3	5,0,0	0,0,5
1775	Kulung	Sino-Tibetan	1,2,3,4,5	2,2,0,1,1	4,4,1,0,1
