LID	Language	Stock	Category	SlotsN	Partition	HostCat	Position.binned5	Behavior.binned4
682	Yucatec	Mayan	P	5	[6, 6]	V	post	NA
674	Limbu	Sino-Tibetan	S	12	[3, 2, 1, 1, 1, 1]	V	prae	NA
22	Anêm	West New Britain	P	2	[7]	V	post	NA
1704	Kamaiurá	Tupian	Atr	1	[9]	V	prae	NA
3093	Dogon (Najamba)	Dogon	S	1	[5]	V	post	NA
2360	Camling	Sino-Tibetan	S	6	[2, 2, 1, 1]	V	post	NA
2882	Berber (Kabyle)	Berber	P	3	[6]	V	post	NA
2335	Provencal	Indo-European	Atr	1	[5]	V	post	NA
681	Khanty	Uralic	S	3	[8]	V	post	NA
35	Belhare	Sino-Tibetan	P	12	[2, 2, 1, 1, 1, 1, 1]	V	post	NA
2998	Jero	Sino-Tibetan	Atr	3	[5, 3, 1]	V	post	NA
3068	Emerillon	Tupian	S	2	[6]	V	prae	NA
2862	Chintang	Sino-Tibetan	S	13	[2, 2, 1, 1]	V	prae	NA
750	Berber (Figuig)	Berber	S	2	[4, 3]	V	prae	NA
3092	Dogon (Ben Tey)	Dogon	Aditr	1	[5]	V	post	NA
885	Amuesha	Arawakan	Atr	3	[4, 1]	V	prae	NA
2863	Puma	Sino-Tibetan	S	8	[3, 2, 2, 1]	V	post	NA
54	Choctaw	Muskogean	S	4	[4, 3, 1]	V	prae	NA
1578	Golin	Chimbu-Wahgi	S	1	[6]	V	post	NA
923	Arapaho	Algic	Atr	5	[8, 3, 2, 1]	V	post	NA
682	Yucatec	Mayan	S	5	[7, 4, 2]	V	post	NA
1010	Binandere	Greater Binanderean	Aditr	2	[3]	V	post	NA
3062	Iyo	Finisterre-Huon	Atr	5	[5]	V	post	NA
2172	Nganasan	Uralic	Atr	2	[9]	V	post	NA
1954	Menya	Angan	G	2	[7]	V	prae	NA
3068	Emerillon	Tupian	Atr	2	[6]	V	prae	NA
871	Araki	Austronesian	Atr	2	[7]	V	prae	NA
2251	Olo	Torricelli	Atr	3	[7]	V	prae	NA
1105	Chortí	Mayan	P	3	[5]	V	post	NA
2668	Munsee	Algic	P	8	[3, 3, 3, 2, 2]	V	post	NA
667	Thulung (Mukli)	Sino-Tibetan	Atr	6	[4, 2, 1, 1, 1]	V	post	NA
2548	Teso	Nilotic	Atr	3	[5, 1]	V	post	NA
2001	Micmac	Algic	Atr	5	[7, 3, 1, 1, 1]	V	post	NA
2882	Berber (Kabyle)	Berber	Aditr	3	[4, 3]	V	prae	NA
1691	Juang	Austroasiatic	P	3	[6]	V	post	NA
3131	Guaraní (Mbyá)	Tupian	Atr	2	[6]	V	prae	initial
27	Atakapa	Atakapa	Atr	2	[4]	V	post	NA
1063	Baure	Arawakan	Atr	2	[6]	V	prae	NA
332	Pipil	Uto-Aztecan	P	3	[6]	V	prae	initial
1414	Tirmaga	Surmic	S	5	[7, 3, 1]	V	post	NA
3010	Lohorung	Sino-Tibetan	P	7	[3, 3, 2, 1, 1, 1]	V	post	NA
59	Cree (Plains)	Algic	S	8	[5, 2, 2, 1, 1]	V	post	NA
3093	Dogon (Najamba)	Dogon	Atr	1	[5]	V	post	NA
2873	Bantawa	Sino-Tibetan	P	10	[3, 2, 1, 1, 1]	V	post	NA
2865	Wambule	Sino-Tibetan	Atr	3	[10, 2, 2]	V	post	NA
923	Arapaho	Algic	P	5	[8, 4, 2, 1]	V	post	NA
956	Nahuatl (Sierra de Zacapoaxtla)	Uto-Aztecan	P	3	[6]	V	prae	NA
1660	Itzaj	Mayan	S	7	[7, 4, 1]	V	post	NA
1142	Cheyenne	Algic	Atr	7	[3, 3, 2, 2, 1, 1, 1]	V	post	NA
559	Murle	Surmic	S	6	[6, 3, 1]	V	post	NA
57	Chuvash	Turkic	S	2	[6, 5]	V	post	NA
2998	Jero	Sino-Tibetan	P	3	[2, 1, 1]	V	post	NA
2980	Koyi	Sino-Tibetan	Atr	4	[5, 3, 1, 1]	V	post	NA
1014	Biak	Austronesian	Aditr	1	[3]	V	prae	NA
2544	Tepehuan (Southeastern)	Uto-Aztecan	P	3	[5]	V	prae	NA
361	Swahili	Benue-Congo	Atr	3	[5]	V	prae	NA
1691	Juang	Austroasiatic	S	3	[5, 2, 1]	V	prae	NA
2865	Wambule	Sino-Tibetan	S	3	[4, 2, 2]	V	post	NA
332	Pipil	Uto-Aztecan	S	3	[3, 1]	V	prae	NA
113	Ineseño	Chumashan	S	3	[3, 2]	V	prae	NA
1014	Biak	Austronesian	S	1	[3]	V	prae	NA
1136	Chontal Maya	Mayan	P	5	[3, 2]	V	post	NA
167	Maa	Nilotic	P	2	[2]	V	prae	NA
956	Nahuatl (Sierra de Zacapoaxtla)	Uto-Aztecan	S	3	[3, 1]	V	prae	NA
201	Nanai	Tungusic	Aditr	1	[5]	V	post	NA
3044	Gurage (Sebat Bet)	Semitic	G	5	[6]	V	post	NA
21	Amharic	Semitic	P	5	[6]	V	post	NA
3044	Gurage (Sebat Bet)	Semitic	Atr	5	[6, 4, 3]	V	post	NA
2544	Tepehuan (Southeastern)	Uto-Aztecan	S	3	[3, 1]	V	post	NA
361	Swahili	Benue-Congo	P	3	[5]	V	prae	NA
460	Jacaltec	Mayan	Atr	2	[4]	V	prae	NA
1645	Anamuxra	Madang	Aditr	4	[9]	V	post	NA
642	Arabic (Egyptian)	Semitic	S	3	[6, 5, 2]	V	post	NA
103	Hua	Eastern Highlands	S	3	[3, 3]	V	post	NA
2551	Atikamekw	Algic	S	7	[3, 2, 2, 2, 1]	V	post	NA
2476	Sirionó	Tupian	P	1	[7]	V	prae	NA
533	Quechua (Imbabura)	Quechuan	S	2	[5]	V	post	NA
583	Hebrew (Modern)	Semitic	Aditr	1	[4]	V	post	NA
3269	Tenetehara	Tupian	Atr	1	[6]	V	prae	NA
167	Maa	Nilotic	S	2	[4]	V	prae	NA
681	Khanty	Uralic	Atr	3	[8]	V	post	NA
35	Belhare	Sino-Tibetan	Atr	12	[2, 2, 2, 1, 1, 1]	V	post	NA
3044	Gurage (Sebat Bet)	Semitic	P	5	[6]	V	post	NA
1414	Tirmaga	Surmic	P	5	[4]	V	post	NA
361	Swahili	Benue-Congo	S	3	[5]	V	prae	NA
583	Hebrew (Modern)	Semitic	S	1	[4]	V	post	NA
2958	Keresan (Laguna)	Keresan	Atr	7	[2]	V	in	NA
59	Cree (Plains)	Algic	P	8	[5, 4, 2, 2]	V	post	NA
3117	Nepali (Eastern)	Indo-European	S	1	[6]	V	post	NA
2885	Shughni	Indo-European	S	1	[6]	V	NA	NA
337	Quiche	Mayan	Atr	2	[6]	V	prae	NA
1750	Kharia	Austroasiatic	Aditr	2	[10]	V	post	NA
2029	Moghol	Mongolic	S	2	[8, 7]	V	post	NA
299	Nandi	Nilotic	P	3	[4]	V	post	NA
2997	Reyesano	Pano-Tacanan	P	3	[4]	V	prae	NA
3117	Nepali (Eastern)	Indo-European	Atr	1	[6]	V	post	NA
2882	Berber (Kabyle)	Berber	G	3	[6]	V	post	NA
1439	Dumi	Sino-Tibetan	S	5	[5, 2, 1]	V	prae	NA
3096	Dogon (Nanga)	Dogon	S	2	[5]	V	post	NA
2999	Old Thulung (Mukli)	Sino-Tibetan	Atr	6	[4, 1, 1, 1, 1]	V	post	NA
3092	Dogon (Ben Tey)	Dogon	S	1	[5]	V	post	NA
111	Ik	Kuliak	Aditr	2	[5]	V	post	NA
1416	Dagur	Mongolic	S	1	[6]	V	post	NA
186	Mixtec (Chalcatongo)	Otomanguean	Atr	1	[4]	V	post	NA
1973	Menomini	Algic	S	11	[2, 2, 2, 2, 1]	V	post	NA
