LID,AUTOTYPLabel,Exponence,Roles,HostCat,Slot,Position.binned5,Behavior.binned4
114,GEN,Number;Role,NA,N_or_Pro,NA,post,spreading
74,GEN,Role,NA,NP,NA,post,final
74,Preposition,Role,NA,NP,NA,prae,initial
340,GEN,Role,G;T;Atr;P,N,NA,post,spreading
340,ATTR.ADJ,Gender;Number;Role,NA,1_2Pro_or_N,NA,post,NA
40,GEN,Role,NA,N,NA,post,NA
40,AGR,Gender;Number;Person,NA,V; Adj; N; Num,NA,prae,NA
75,POSS-ALIEN,PossSem,NA,N_or_Pro,NA,NA,NA
80,GEN,,NA,Pro,NA,NA,NA
80,NA,,NA,,NA,post,NA
85,NA,Number;Person,NA,N; Pro,NA,prae,NA
85,NA,,NA,,NA,prae,NA
85,NA,,NA,Adp,NA,post,NA
7,POSS-AGR,Number;Person,NA,,NA,prae,NA
86,GEN,Role,NA,N_or_Pro,NA,post,NA
79,POSS,Gender;Number;Role,NA,NP,NA,prae,initial
79,POSS-PRO,Gender;Number;Person;Role,NA,NP,NA,prae,initial
107,Possessive suffix,Number;Person,NA,N; Adp,NA,post,NA
6,GEN,Role,NA,N_or_Pro,NA,post,NA
6,NA,,NA,,NA,NA,NA
6,NA,Role,NA,,NA,NA,NA
14,NA,,NA,,NA,NA,NA
20,GEN,Role,NA,N_or_Pro,NA,post,NA
20,Possessive suffix,Number;Person,NA,,NA,post,NA
22,NA,PossClass,NA,,NA,NA,NA
24,NA,,NA,,NA,NA,NA
24,NA,,NA,,NA,NA,NA
28,NA,,NA,N_or_Pro,NA,NA,NA
31,NA,Role,NA,N_or_Pro,NA,post,NA
33,GEN,Role,NA,N_or_Pro,NA,post,NA
36,GEN,Role,NA,,NA,post,NA
38,NA,Role,NA,Pro,NA,NA,NA
38,NA,,NA,,NA,post,NA
38,NA,,NA,N,NA,prae,NA
103,Possessive prefix,,NA,,NA,prae,NA
103,Possessive suffix,,NA,,NA,post,NA
103,GEN,Role,NA,N_or_Pro,NA,post,NA
109,POSS-AGR,Number;Person,NA,N,NA,post,NA
112,POSS-INAL,Construct,NA,,NA,post,NA
211,NA,Role,NA,N_or_Pro,NA,post,NA
126,Possessive suffix,Number;Person,NA,N_or_Pro,NA,post,NA
126,Possessive suffix,Number;Person,NA,3sgPro,NA,post,NA
126,GEN,Role,NA,NP,NA,post,final
130,GEN,Role,NA,N_or_Pro,NA,post,NA
131,GEN,Role,NA,,NA,NA,NA
133,GEN,,NA,Pro,NA,NA,NA
133,NA,,NA,,NA,NA,NA
134,POSS,,NA,N,NA,prae,NA
138,POSS,Number;Person,NA,,NA,prae,NA
138,GEN,,NA,N,NA,NA,NA
191,GEN,Role,NA,Pro,NA,NA,NA
191,POSS-PRO,Gender;Number;Person;Role,NA,,NA,NA,NA
191,NA,,NA,,NA,NA,NA
212,NA,Role,NA,Pro,NA,NA,NA
212,NA,,NA,,NA,NA,NA
343,POSS-AGR,Number;Person,NA,,NA,prae,NA
345,Possessive suffix,,NA,,NA,post,NA
345,Possessive prefix,,NA,,NA,prae,NA
350,(Genitive) case word?,Role,NA,N,NA,post,NA
350,NA,,NA,N,NA,prae,NA
358,GEN,Role,NA,N_or_Pro,NA,NA,NA
367,POSS-PRO,Role,NA,N_or_Pro,NA,post,NA
367,NA,Number;Person,NA,,NA,NA,NA
367,GEN,Role,NA,N,NA,post,NA
368,POSS-AGR,Number;Person;Role,NA,,NA,prae,NA
368,Possessive suffix,Number;Person,NA,,NA,post,NA
369,POSS,Number;Person,NA,,NA,NA,NA
369,Genitive case,Role,NA,Pro,NA,NA,NA
369,Possessive prefix,Number;Person,NA,,NA,prae,NA
370,POSS-PRO,Number;Person;Role,NA,N_or_Pro,NA,post,NA
381,NA,,NA,,NA,NA,NA
381,NA,Number;Person,NA,,NA,post,NA
381,NA,Construct,NA,,NA,post,NA
393,Genitive case,,NA,Pro,NA,NA,NA
393,POSS-PRO,,NA,N,NA,NA,NA
395,POSS-AGR,Number;Person,NA,,NA,post,NA
