LID,AUTOTYPLabel,Exponence,Roles,HostCat,Slot,Position.binned5,Behavior.binned4
661,<none>,,NA,,NA,NA,NA
481,ERG,Role,NA,N_or_Pro,NA,post,spreading
490,<none>,,NA,,NA,NA,NA
413,ERG,Role,NA,N,NA,post,final
412,<none>,,NA,,NA,NA,NA
407,<none>,,S;Atr;Aditr;G;T;P,,NA,NA,NA
404,ERG,Role,NA,NP,NA,post,spreading
367,ERG,Role,Aditr;Atr,NP,NA,post,final
360,ERG,Role,NA,NP,NA,post,final
343,CORE,Role,S;Aditr;P;Atr;T;G,,NA,NA,NA
332,<none>,Role,P;Atr;S,,NA,NA,NA
1954,ERG,Role,NA,N_or_Pro,NA,post,final
178,ERG,Role,NA,NP,NA,post,final
148,<none>,,P;S;Atr,,NA,NA,NA
318,NOM,Role,Atr;P;T;S;Aditr,,NA,NA,NA
103,ERG,Number;Role,Aditr;Atr,N_or_Pro,NA,post,final
138,<none>,Role,S;Atr;P,,NA,NA,NA
165,NOM,,G;T;P;Atr;S;Aditr,,NA,NA,NA
168,OBJECT case,Role,NA,N,NA,post,final
84,ERG,Role,Atr,N,NA,post,final
72,ACC,Role,P,N-kin; 3sgPro; Pro-pl,NA,post,final
63,NOM,Role,Atr;S,N_or_Pro,NA,post,NA
75,NOM,,P;G;T;Atr;Aditr;S,,NA,NA,NA
80,<none>,Role,P;Atr;S,,NA,NA,NA
39,NOM,Role,NA,,NA,NA,NA
51,"NOM
",,Atr;G;S;T;P;Aditr,,NA,NA,NA
66,ERG,Role,Aditr;Atr,N,NA,post,final
68,ERG,Role,Atr;Aditr,N,NA,post,final
73,NOM,,P;Atr;S,,NA,NA,NA
405,<none>,,NA,,NA,NA,NA
406,<none>,,NA,,NA,NA,NA
435,NOM,Role,S,,NA,NA,NA
326,DAT,Number;Role,NA,N_or_Pro,NA,post,final
532,ERG/LOC,Role,NA,NP,NA,post,final
108,ERG,Role,Atr,N,NA,post,spreading
155,ERG/GEN,Role,Atr,N,NA,post,final
387,ACC,Role,P,N_or_Pro,NA,post,final
416,ERG,Role,Atr,N,NA,post,final
558,<none>,Role,G;S;P;T;Atr;Aditr,,NA,NA,NA
12,NOM,Role,G;Aditr;P;Atr;S;T,,NA,NA,NA
612,RELATIVE,Number;Role,NA,N,NA,post,NA
358,ERG/INSTR,Role,Atr;Aditr,N,NA,post,NA
152,OBJECT case,Role,NA,NP,NA,post,initial
197,ACC/GEN,Role,P,N_or_Pro,NA,post,NA
6,OBJECT case,Role,NA,N,NA,post,final
28,ACC,Role,P;G;T,NP,NA,post,final
64,ERG,Role,Atr;Aditr,N; Pro-sg; 3Pro,NA,post,final
686,NOM,,Aditr;S;Atr,,NA,NA,NA
198,<none>,Role,Aditr;P;T;S;Atr;G,,NA,NA,NA
317,<none>,,Aditr;S;G;P;T;Atr,,NA,NA,NA
208,ERG/GEN,Role,NA,N_or_Pro,NA,post,spreading
429,OBJECT case,Referential;Role,T;P;G,N_or_Pro,NA,NA,NA
329,ERG,Role,NA,NP,NA,post,final
534,"Construct case
",Role,NA,N,NA,post,NA
659,ERG,Role,Atr,,NA,post,NA
578,ACC,Role,NA,N,NA,post,final
918,NOM,Role,Aditr;Atr;S;T;P,N_or_Pro,NA,NA,NA
679,POSS-AGR,Number;Person;Role,NA,NP,NA,post,final
677,AGR,Referential,NA,Adj,NA,post,NA
677,AGR,,NA,Adj,NA,post,NA
677,RELATIVE,,NA,S,NA,NA,NA
110,ART,,NA,N,NA,post,final
679,GEN,Role,NA,N_or_Pro,NA,post,final
608,GEN,Role,NA,N_or_Pro,NA,post,final
608,POSS-AGR,Number;Person;Role,NA,N,NA,post,NA
435,GEN,Number,NA,,NA,NA,NA
435,ATTR,Role,NA,Num,NA,post,NA
680,Possessive suffix,PossClass;Referential,NA,N,NA,post,NA
680,POSS-AGR,,NA,N,NA,post,NA
680,NA,,NA,,NA,post,NA
681,ATTR,,NA,,NA,post,NA
188,Possessive suffix,Number;Person,NA,N,NA,post,NA
188,Possessive,,NA,N,NA,post,final
511,INSTR,,NA,,NA,post,NA
736,ATTR,,NA,Adj,NA,post,NA
736,POSS-AGR,,NA,N,NA,NA,NA
737,POSS-AGR,,NA,N; Adj,NA,post,NA
17,ATTR,,NA,Adj; N_or_Pro; Ord,NA,prae,NA
17,S/A-AGR,,Atr;S;Aditr,V,NA,NA,NA
86,AGR,,NA,,NA,NA,NA
49,GEN,Role,NA,N_or_Pro,NA,post,NA
49,Gender,,NA,Adj,NA,prae,NA
49,DAT,Role,G;S;Atr;P,N; Pro,NA,post,spreading
114,Gender,Role,NA,Adj,NA,prae,NA
677,GEN,Role,NA,N,NA,post,final
15,GEN,,NA,N,NA,NA,NA
15,S.CONSTR,,NA,N,NA,NA,NA
2824,GEN,Role,NA,NP,NA,post,final
54,AGR,Number;Person,NA,Adj,NA,prae,NA
54,Possessive prefix,,NA,N,NA,prae,NA
129,AGR,,NA,Adj; DEM,NA,NA,NA
23,AGR,Gender;Number;Referential;Role,NA,Adj,NA,NA,NA
583,AGR,Gender;Number;Referential,NA,Adj,NA,NA,NA
129,GEN,,NA,N_or_Pro,NA,NA,NA
700,ATTR,,NA,Adj,NA,post,NA
660,GEN,,NA,NP; S,NA,NA,NA
1295,AGR,Gender;Number;Role,NA,Adj; PTCP,NA,post,NA
64,DAT,,NA,N_or_Pro,NA,post,NA
141,RELATIVE,,NA,S,NA,post,NA
2774,GEN,,NA,N,NA,NA,NA
2534,GEN,Role,NA,N_or_Pro,NA,post,final
2534,POSS-AGR,Number;Person,NA,NP,NA,post,final
670,POSS-AGR,Number;Person;Role,NA,N,NA,post,NA
670,GEN,Role,NA,N_or_Pro,NA,post,final
670,Ezafe,Construct,NA,Adj; N_or_Pro; Adp,NA,post,NA
2015,GEN,Role,NA,N,NA,post,final
2016,Genitive case,Role,NA,N_or_Pro; Adj,NA,post,NA
738,Possessive suffix,Number;Person,NA,N_or_Pro,NA,post,NA
1428,OBL,,NA,N,NA,post,NA
1428,POSS-PRO,Number;Person,NA,Pro,NA,prae,NA
676,Ezafe,Gender;Number;Referential,NA,Adj; N_or_Pro; PTCP,NA,post,NA
676,OBL,,P;T;G;Aditr;Atr,N_or_Pro,NA,post,NA
676,RELATIVE,,NA,S,NA,NA,NA
1726,GEN,Role,NA,N_or_Pro,NA,post,final
1726,POSS-AGR,Number;Person,NA,NP,NA,post,NA
805,POSS-AGR,Number;Person,NA,NP,NA,post,final
805,GEN,Number;Person;Role,NA,N_or_Pro,NA,post,final
2797,POSS-AGR,Person,NA,N,NA,post,NA
2797,ATTR,,NA,N; Adj; Num,NA,post,NA
1295,POSS-PRO,Gender;Number,NA,N,NA,NA,NA
2289,Ezafe,,NA,N_or_Pro; Adj; PTCP; Ord,NA,post,NA
2289,Possessive suffix,,NA,N,NA,post,NA
2289,GEN,,NA,N_or_Pro,NA,post,final
87,AGR,Gender;Number;Role,NA,Adj; PTCP,NA,post,NA
2239,Possessive suffix,,NA,N,NA,post,NA
569,POSS-PRO,Gender;Number;Person;Role,NA,Pro,NA,prae,NA
569,POSS,Gender;Number;Role,NA,N,NA,prae,NA
1341,POSS-PRO,,NA,N,NA,NA,NA
1341,Possessive suffix,,NA,N,NA,NA,NA
709,GEN,,NA,N_or_Pro; Num,NA,NA,NA
709,ATTR,,NA,Adj,NA,post,NA
1498,ATTR.ADJ,Gender;Number;Role,NA,Adj; PTCP,NA,post,NA
35,NMZR,,NA,Adj; DEM,NA,NA,NA
35,ART.DEF,,NA,Adj,NA,NA,NA
129,S-AGR,,NA,V,NA,post,NA
1531,AGR,Gender;Role,S;P,Adj; V,NA,prae,NA
176,ATTR,,NA,DEM; S,NA,post,NA
176,AGR,Number,NA,Adj; Art,NA,post,NA
176,AGR,Number,NA,Adj; Art,NA,post,NA
814,AGR,Gender;Number;Role,NA,Adj; PTCP,NA,post,NA
2471,ATTR,Gender;Number;Role,NA,Adj; PTCP,NA,NA,NA
2447,ATTR,Gender;Number;Role,NA,Adj; PTCP,NA,post,NA
613,ATTR,,NA,,NA,NA,NA
879,Possessive affix,Number;Person,NA,Adj; N,NA,simul,NA
2845,NMZR,,NA,N_or_Pro; Adj,NA,post,NA
679,ATTR,Referential,NA,Adj; DEM,NA,post,NA
805,Possessive suffix,Referential,NA,N_or_Pro,NA,post,NA
340,INSTR,,P;T,,NA,post,spreading
629,DAT,Role,P;G,NP,NA,post,final
535,NOM,Role,Aditr;Atr;S;T;P,,NA,post,NA
535,DAT,Role,Atr;G;S,,NA,post,NA
71,ERG,Role,Aditr;Atr,3Pro_or_N,NA,post,NA
71,NOM,Role,Atr;Aditr;S;T;P,N_or_Pro,NA,post,NA
71,ACC,,T;P,1/2Pro,NA,post,final
162,DAT,,P;G;Atr;S,,NA,post,NA
162,NOM,,Atr;S;T;P,,NA,NA,NA
162,LOC,,P;G,,NA,post,final
2081,NOM,,Atr;Aditr;T;P;S,,NA,post,NA
2081,ERG,Role,Aditr;Atr,3Pro_or_N,NA,post,NA
2081,DAT,,Atr;G;P;S,,NA,post,NA
2081,AGR,,NA,,NA,post,NA
629,NOM,Role,S;T;P,,NA,post,final
71,DAT,,G,,NA,post,final
49,ERG,Role,Aditr;Atr;S,,NA,post,spreading
71,RELATIVE,,P;S,S,NA,NA,final
71,PURPOSIVE,,P;S,S,NA,NA,NA
66,ACC,Role,P;T,N-high-anim,NA,post,final
66,DAT,Role,P;G;Atr,N_or_Pro,NA,post,final
66,ABS,Role,Atr;Aditr;S;P;T,N_or_Pro,NA,post,final
66,NMZR,,NA,V,NA,post,final
2666,ERG,Role,Atr,,NA,post,NA
2666,ERG,,Atr,,NA,post,NA
2666,DAT,,P,,NA,post,NA
2666,NOM,Role,Atr;S;P,,NA,NA,NA
570,AGR,,NA,VP,NA,prae,initial
66,OBL,Role,G,N_or_Pro,NA,post,final
402,AGR,Number;Person;Role,Atr;Aditr;S,V,NA,prae,NA
320,ACC,,NA,1/2Pro,NA,NA,NA
320,NOM,,NA,1/2Pro,NA,post,NA
580,DAT,Role,G;S;P,,NA,post,NA
580,NOM,Role,Aditr;Atr;S;T;P,,NA,NA,NA
580,ACC,Role,T;P,1/2Pro,NA,post,NA
580,ANTIP,Voice,NA,V,NA,post,NA
580,ABL,Role,S;P,NP,NA,post,NA
580,PURPOSIVE,Connective,S;P,V,NA,post,NA
580,LEST,Connective,S;P,V,NA,post,NA
71,ANTIP,Voice,Atr;P,V,NA,post,NA
87,PASS,Voice,Aditr,V,NA,NA,NA
87,PASS,Voice,Atr;S;Aditr,V,NA,NA,NA
2173,ABS,Role,Aditr;P;Atr;S;T,,NA,NA,NA
2173,ERG,Role,T;S;Aditr;Atr;P,,NA,NA,NA
2173,AGR,Mood;Number;Person,Atr;Aditr;S,V,NA,prae,NA
2173,RELATIVE,,Atr;S;Aditr,S,NA,prae,NA
2173,DAT,,G,,NA,prae,initial
2173,RELATIVE,,T;G;P,V,NA,prae,NA
2417,NOM,,T;P;S;Aditr;Atr,,NA,post,NA
2417,OBJECT case,,P;T,Pro,NA,NA,NA
2417,ACC,Role,NA,,NA,post,NA
2417,AGR,,S;Atr,V,NA,post,NA
2417,AGR,,NA,NP,NA,post,NA
2416,AGR,,NA,V,NA,post,NA
2416,AGR,,NA,NP,NA,post,NA
2416,ACC,Role,NA,NP,NA,prae,initial
2416,DIR,Deixis;Number;Person;Role,Atr;P;S,Pro,NA,NA,NA
2416,OBL,Deixis;Number;Person;Role,P;Atr,Pro,NA,NA,NA
2340,NOM,Number;Role,NA,,NA,NA,NA
2761,NOM,,NA,N; Pro-pl,NA,NA,NA
2761,DIR,Gender;Number;Person;Role,Atr;S;P,Pro-sg,NA,NA,NA
2761,OBL,Gender;Number;Person;Role,Atr,Pro-sg,NA,NA,NA
2761,ACC,Role,P,N; Pro,NA,prae,NA
2761,DAT,Role,NA,N; Pro,NA,post,NA
2886,ACC,Role,P,Pro,NA,prae,initial
2886,DIR,Role,Atr;S;P,Pro-sg,NA,prae,NA
2886,OBL,Role,Atr,Pro-sg,NA,prae,NA
2886,DAT,Role,NA,,NA,post,final
2340,DIR,Gender;Number;Person;Role,NA,N; Pro-sg,NA,NA,NA
2340,OBL,Gender;Number;Person;Role,NA,N; Pro-sg,NA,NA,NA
2883,OBL,Deixis;Number;Person;Role,P;Atr,Pro,NA,NA,NA
2883,DIR,Deixis;Number;Person;Role,Atr;P;S,Pro,NA,NA,NA
2762,OBL,,NA,,NA,NA,NA
2762,DIR,,NA,,NA,NA,NA
2762,NOM,,NA,Pro,NA,NA,NA
68,ABS,Role,P;T;S,,NA,NA,NA
68,ACC,Role,T;P,Pro,NA,post,NA
107,DAT,Role,P;G;Atr,,NA,post,NA
107,NOM,Role,Aditr;Atr;S;P,,NA,post,NA
676,DIR,Gender;Number;Role,Aditr;Atr;S;P;T,,NA,NA,NA
416,ABS,Role,P;S;Atr,N; Pro,NA,post,final
416,ACC,Role,P,Pro,NA,post,final
424,ERG,Role,Aditr;Atr,NP,NA,post,spreading
424,NOM,,Atr;P;T;S;Aditr,NP,NA,NA,spreading
424,AGR,Number;Person;Role,P;Atr;S,,NA,post,NA
656,NA,,NA,,NA,NA,NA
674,ABS,,S;P;Atr,N,NA,NA,NA
674,ERG,,Atr,N,NA,NA,NA
421,OBJECT case,Role,T,,NA,prae,NA
339,NOM,Role,Aditr;P;T;Atr;S,,NA,NA,NA
339,DAT,,G,,NA,post,NA
359,O role index,Number;Role,NA,V,NA,NA,NA
359,<none>,Role,S;Atr;P,,NA,NA,NA
408,ACC,Role,P,Pro,NA,post,NA
408,S-AGR,Role,S;Atr;Aditr,N_or_Pro,NA,post,NA
2814,<none>,Role,T;G;S;Atr;P;Aditr,N_or_Pro,NA,NA,NA
660,NOM,Role,Aditr;S;Atr;P;G;T,N; Pro_NOT_1plPro,NA,post,spreading
660,ACC,Role,T;G;P,N_or_Pro,NA,post,spreading
193,ACC,Role,T;G;P,Pro_NOT_1sgPro,NA,post,NA
193,DAT,Role,P;G,NP,NA,NA,NA
193,S/A-AGR,Number;Role,Aditr;S;Atr,V,NA,post,NA
193,PURPOSIVE,,NA,V,NA,post,NA
469,NOM,Role,T;Aditr;Atr;S;P,,NA,post,NA
469,S-AGR,Number;Role,NA,V,NA,post,NA
469,O-AGR,Number;Role,NA,V,NA,post,NA
2823,OBL,,NA,,NA,NA,NA
2915,DIR,,NA,,NA,NA,NA
2915,OBL,,NA,,NA,NA,NA
2885,DIR,,P;T;Atr;S;Aditr,1sgPro,NA,NA,NA
2885,OBL,,T;P,1sgPro,NA,NA,NA
2885,ACC,,NA,NP,NA,NA,NA
2681,DIR,,Aditr;Atr;S;P;T,N_or_Pro,NA,post,spreading
2681,OBL,,P;T;G;Atr;Aditr,N_or_Pro,NA,post,spreading
659,NOM,Role,P;Atr;S,,NA,post,NA
391,ABS,Role,Atr;Aditr;S;P;T,,NA,NA,NA
391,ACC,Role,T;P,N; Pro,NA,post,NA
391,NOM,Role,NA,Pro,NA,NA,NA
391,OBL,Role,G,N; Pro,NA,post,NA
2918,DIR,Role,P;Atr;S,N; 1/2sgPro; 3Pro,NA,NA,NA
2918,OBL,Number;Person;Role,P;Atr,N; 1/2sgPro; 3Pro,NA,NA,NA
2919,OBL,Number;Person;Role,P;Atr,N; 1/2sgPro; 3Pro,NA,NA,NA
2919,DIR,Role,P;Atr;S,N; 1/2sgPro; 3Pro,NA,NA,NA
2919,NOM,,NA,1/2plPro,NA,NA,NA
1103,ABS,Role,P;T;S;Atr;Aditr,N_or_Pro,NA,NA,NA
1103,ERG,Role,Atr;Aditr,N,NA,post,NA
1103,ACC,Role,P;T,Pro,NA,post,NA
1103,DAT,Role,G;P,,NA,post,NA
1103,S/A-AGR,Number;Person;Role,NA,V,NA,post,NA
1103,O-AGR,Number;Person;Role,NA,V,NA,post,NA
1103,G-AGR,Number;Person;Role,NA,V,NA,post,NA
660,DAT,Role,P;G,N_or_Pro,NA,post,spreading
1826,ERG,Role,Atr,N_or_Pro,NA,post,NA
1826,ABS,Role,P;S,,NA,post,NA
1262,ERG,Role,Aditr;Atr,,NA,NA,NA
1262,ABS,Role,T;P;S,,NA,NA,NA
1262,DAT,Role,G,,NA,NA,NA
1333,NOM,Role,S;Atr,Pro; N-pers,NA,NA,NA
1333,ACC,Role,P,N_or_Pro,NA,NA,NA
1333,ERG,Role,Atr,,NA,post,NA
808,ABS,Role,P;S;Atr,N,NA,NA,NA
808,ERG,Role,Atr,N,NA,post,NA
2770,NOM,,S;Aditr;Atr;P;T,,NA,NA,NA
2770,ERG,,Atr;Aditr,not_1sgPro,NA,post,NA
2770,ACC,,T;P,Pro,NA,post,NA
2770,DAT,,G,N_or_Pro,NA,post,NA
193,ABS,Role,Aditr;Atr;S;P;T;G,,NA,NA,NA
815,ABS,Role,P;T;S,N_or_Pro,NA,NA,NA
815,ERG,Role,Aditr;Atr,N_or_Pro,NA,post,NA
815,ALL,Role,G,,NA,post,NA
815,NA,,NA,,NA,NA,NA
918,DAT,Role,G;P,N_or_Pro,NA,post,NA
2922,OBL,Role,P;Atr,N_or_Pro,NA,NA,NA
2922,DIR,Role,Atr;P;S,N_or_Pro,NA,NA,NA
408,ABS,Role,P;S;Atr,,NA,NA,NA
2923,DIR,Role,P;Atr;S,N_or_Pro,NA,NA,NA
2923,OBL,Role,P;Atr,N_or_Pro,NA,NA,NA
2924,DIR,Number;Person;Role,Atr;P;S,N_or_Pro,NA,NA,NA
2924,OBL,Number;Person;Role,P;Atr,N_or_Pro,NA,NA,NA
2723,ERG,,Aditr;Atr,N_or_Pro,NA,post,NA
2723,ABS,,Atr;Aditr;T;S;P,N_or_Pro,NA,post,NA
2723,DAT,,G,N_or_Pro,NA,NA,NA
2920,ERG,,Atr,N_or_Pro,NA,post,NA
2920,ABS,,Atr;S;P,N_or_Pro,NA,post,NA
2920,ACC,,P,Pro,NA,post,NA
2722,ERG,,Atr,N,NA,post,NA
2722,ABS,,P;S;Atr,N_or_Pro,NA,post,NA
2722,ACC,,P,Pro,NA,post,NA
2233,ERG,Role,Atr,,NA,post,NA
2233,ABS,Role,Atr;S;P,,NA,post,NA
2233,ACC,Role,P,,NA,post,NA
2927,DIR,Role,P;Atr;S,N_or_Pro,NA,NA,NA
2927,OBL,Role,P;Atr,N_or_Pro,NA,post,NA
2289,NOM,Role,S;Atr;P,N_or_Pro,NA,post,NA
2289,ACC,Role,P,N_or_Pro,NA,NA,NA
2225,ABS,,P;S;Atr,N_or_Pro,NA,NA,NA
2225,ERG,,Atr,N,NA,NA,NA
2225,ACC,,P,Pro,NA,NA,NA
331,NOM,Role,P;S;Atr,,NA,NA,NA
319,ABS,Role,G;T;P;S,,NA,NA,NA
32,ABS,Role,Atr;S;P;G;T,,NA,NA,NA
656,NOM,Role,T;P;S;Atr;Aditr,N_or_Pro,NA,NA,NA
378,S-AGR,Number;Person;Role,NA,V,NA,prae,NA
378,O-AGR,Number;Person;Role,NA,V,NA,prae,NA
2930,NOM,Role,Aditr;T;Atr;S;P,N_or_Pro,NA,NA,NA
2930,ACC,Role,T;P,NP,NA,post,final
2930,DAT,Role,P;G;Atr;S,NP,NA,post,final
2371,NOM,Role,Aditr;Atr;S;T;P;G,,NA,NA,NA
2371,ERG,Role,Aditr;Atr,,NA,post,NA
2371,ACC,Role,T;G;P,,NA,post,NA
516,NA,,T;P;Aditr;Atr;S,,NA,NA,NA
659,DAT,,NA,,NA,post,NA
659,ACC,,P,,NA,post,NA
659,AGR,Number,P;S;T,,NA,post,NA
1536,<none>,Role,P;Atr;S,,NA,NA,NA
872,ABS,Role,T;Atr;P;S;G,,NA,NA,NA
872,ERG,Role,Aditr;Atr,,NA,post,NA
872,AGR,Gender;Number;Polarity;TAM,S;T;P,,NA,post,NA
2929,DIR,Number;Role,Atr;S;P,,NA,NA,NA
2929,ACC,Role,P,Pro,NA,post,NA
2929,OBL,Role,Atr;P,,NA,post,NA
14,SS,,NA,,NA,NA,NA
20,BUT,,NA,,NA,NA,NA
20,SS/DS,,NA,,NA,NA,NA
20,OR,,NA,,NA,NA,NA
20,COND,,NA,,NA,NA,NA
74,NA,,NA,,NA,NA,NA
629,SEQ,,NA,,NA,NA,NA
1494,CONJ,,NA,,NA,NA,NA
103,NA,,NA,,NA,NA,NA
103,AS,,NA,,NA,NA,NA
103,TOP,,NA,,NA,NA,NA
1806,NA,,NA,,NA,NA,NA
468,CVB,,NA,,NA,NA,NA
361,SEQ,,NA,,NA,prae,NA
361,NA,,NA,,NA,NA,NA
361,NA,,NA,,NA,NA,NA
367,NA,,NA,,NA,NA,NA
367,BUT,,NA,,NA,NA,NA
367,TOP,,NA,,NA,NA,NA
393,NA,,NA,,NA,NA,NA
393,TOP,,NA,,NA,NA,NA
393,NA,,NA,,NA,NA,NA
2865,CVB,,NA,,NA,NA,NA
2831,PTCP,,NA,,NA,NA,NA
35,ADD,,NA,,NA,NA,NA
35,NA,,NA,,NA,NA,NA
35,NA,,NA,,NA,NA,NA
141,S-AGR,Honorificity;Role,S;Aditr;Atr,,NA,post,NA
141,NOM,,S;Aditr;P;Atr,,NA,post,NA
141,PASS,Voice,NA,,NA,post,NA
141,DAT,Role,Atr;G,,NA,post,NA
141,PASS,Voice,P;T;Atr;Aditr,V,NA,post,NA
9,ERG,Role,NA,,NA,prae,NA
49,ABS,,S;Aditr;Atr;G;P;T,,NA,NA,NA
53,<none>,Role,Atr;P;S,,NA,NA,NA
29,NOM,Role,Atr;S;P,,NA,NA,NA
27,<none>,Role,P;Atr;S,,NA,NA,NA
21,ACC,Referential;Role,T;P;G;S,,NA,post,initial
21,<none>,Referential;Role,Atr;S;Aditr;T;P,,NA,NA,NA
57,NOM,Role,P;Atr;S,,NA,NA,NA
57,DOM,Role,P,,NA,post,NA
63,ABS,Role,P,,NA,NA,NA
1348,ACC,Role,P;T;G,,NA,post,NA
1348,NOM,Role,Atr;Aditr;S,,NA,post,NA
78,NOM,Number;Role,P;T;Atr;Aditr;S,N_or_Pro,NA,post,spreading
72,NOM,Role,NA,N_or_Pro,NA,NA,NA
72,ERG,Role,Atr,N-non-kin,NA,post,NA
85,<none>,Role,S;P;Atr,,NA,NA,NA
85,NOM,Role,Atr;S,Pro,NA,NA,NA
85,ACC,Role,NA,Pro,NA,NA,NA
88,ERG,Role,Atr,,NA,post,NA
88,ABS,Role,Atr;P;S,,NA,NA,NA
113,<none>,Role,T;Aditr;S;P;G;Atr,,NA,NA,NA
113,AGR,Person;Role,Aditr;P;G;S;Atr,,NA,prae,NA
113,O-AGR,Number;Person;Role,G;P,V,1,post,NA
116,ABS,Role,P;S;Atr,,NA,NA,NA
123,NOM,Role,Aditr;Atr;S,,NA,NA,NA
142,NOM,Role,S;Atr;Aditr;T;P,,NA,NA,NA
142,ACC,Role,T;P,,NA,post,NA
33,ABS,Role,NA,N_or_Pro,NA,NA,NA
379,ABS,Role,P;T;G,,NA,post,NA
503,NOM,Number;Role,Aditr;S;T;Atr;G;P,N_or_Pro; Adj,NA,post,spreading
662,NOM,Role,Aditr;Atr;S;T;P,,NA,NA,NA
662,ACC,Role,P;T;G,NP,NA,post,final
434,ABS,Role,S;P,,NA,NA,NA
434,ERG,Role,Atr,,NA,post,NA
434,DAT,Role,P,,NA,post,NA
667,ABS,Role,Atr;Aditr;T;S;P,,NA,NA,NA
667,DAT,Role,G;P,,NA,post,NA
1130,ABS,Role,S;P,,NA,NA,NA
1130,ERG,Role,Atr,,NA,post,NA
1130,DAT,Role,P,,NA,post,NA
635,<none>,Role,P;Atr;T;Aditr;S,,NA,NA,NA
635,DAT,Role,G,,NA,post,NA
1772,ABS,Role,P;S;Atr,,NA,NA,NA
1772,ERG,Role,Atr,,NA,post,NA
1772,DAT,Role,NA,,NA,post,NA
1772,ACC,Role,P,,NA,post,NA
658,NOM,Role,P;S;Atr,,NA,NA,NA
658,DAT,Role,NA,,NA,NA,NA
2536,NOM,Role,Atr;Aditr;S;P;T,,NA,NA,NA
2536,ACC,Role,P;T,,NA,post,final
2536,DAT,Role,G;Atr,,NA,post,final
2539,NOM,Role,Atr;Aditr;S;P;T,,NA,NA,NA
2539,ACC,Role,T;P,,NA,post,NA
2539,DAT,Role,G,,NA,post,NA
2537,NOM,Role,Atr;S;P,,NA,NA,NA
2537,ACC,Role,P,,NA,post,NA
2537,DAT,Role,NA,,NA,post,NA
634,NOM,Role,Atr;S;Aditr,,NA,NA,NA
634,DAT,Role,NA,,NA,post,NA
171,NOM,Role,T;G;P;S;Aditr;Atr,,NA,NA,NA
663,ABS,Role,S;T;P,,NA,NA,NA
663,ERG,Role,Aditr;Atr,NP,NA,post,NA
663,DAT,Role,P;G,NP,NA,post,NA
664,ABS,Role,Aditr;Atr;S;T;P,,NA,NA,NA
664,ERG,Role,Aditr;Atr,,NA,post,NA
664,DAT,Role,G;T;P,,NA,post,NA
1914,ABS,Role,P;Atr;G;S;T,,NA,NA,NA
1914,ERG,Role,Atr;Aditr,,NA,post,NA
31,NOM,Role,Atr;P;S;Aditr;T;G,,NA,NA,NA
59,PROX,Referential,Atr;S;P,NP,NA,post,NA
1063,NOM,Role,G;T;P;Atr;S;Aditr,,NA,NA,NA
9,ABS,,Aditr;Atr;S;T;P,,NA,NA,NA
528,NOM,Role,Atr;S;Aditr,,NA,NA,NA
528,DAT,Role,G,,NA,post,NA
2934,NOM,Role,S;Atr;P,,NA,NA,NA
2934,OBL,Role,NA,,NA,prae,NA
1827,<none>,Role,T;Atr;P;S;Aditr,,NA,NA,NA
1827,OBL,Role,G,,NA,post,NA
2076,NOM,Role,NA,,NA,NA,NA
2076,ACC,Role,NA,,NA,post,NA
752,NOM,Role,Atr;S;P,,NA,NA,NA
752,ACC,Role,NA,,NA,NA,NA
2871,<none>,Role,NA,,NA,NA,NA
223,<none>,Role,Atr;P;S,,NA,NA,NA
1775,ERG,Role,Atr;Aditr,,NA,post,NA
1775,ABS,Role,P;S;T;G,,NA,NA,NA
2935,NOM,,T;G;P;S,,NA,NA,NA
2935,ERG,Role,Aditr;Atr,,NA,post,NA
569,NOM,Role,Atr;S;P,,NA,NA,NA
637,ABS,Role,Atr;S;P;T;G,,NA,NA,NA
637,ERG,Role,Aditr;Atr,,NA,post,NA
455,ABS,Role,NA,,NA,NA,NA
455,ERG,Role,NA,,NA,post,NA
844,NOM,Role,T;Atr;S;Aditr;P,,NA,NA,NA
844,ACC,Role,T,Pro,NA,NA,NA
844,Preposition,Role,P;G,NP,NA,prae,initial
2657,NOM,Role,P;Aditr;Atr;S,,NA,NA,NA
2657,ACC,Role,G;T;P,,NA,post,NA
2657,DAT,Role,P;G,,NA,post,NA
2412,DS,,NA,,NA,NA,NA
2412,S/A-AGR,Number;Person;Role,NA,,NA,prae,NA
2412,O-AGR,Number;Person;Role,NA,,NA,prae,NA
2863,NOM,Role,T;S;P,,NA,NA,NA
2863,ERG,Role,Aditr;Atr,,NA,post,NA
2863,DAT,Role,P;G,,NA,post,NA
2863,ANTIP,Voice,NA,,NA,prae,NA
2657,PASS,Tense;Voice,NA,V,NA,post,NA
2657,S/A-AGR,Role,S;Atr,V,NA,post,NA
74,PASS,Voice,NA,,NA,NA,NA
682,<none>,Role,P;G;T;Atr;S;Aditr,,NA,NA,NA
2412,PASS,Voice,NA,V,NA,prae,NA
682,PASS,Voice,NA,V,NA,NA,NA
87,PP,,P;T;G,,NA,NA,NA
87,COMP,,NA,,NA,NA,NA
2862,ERG,Role,T;Aditr;Atr,NP,NA,post,NA
87,PTCP,,NA,V,NA,NA,final
87,NA,,NA,S,NA,NA,NA
2862,ABS,Role,Aditr;Atr;S;G;T;P,,NA,NA,NA
2862,DIR,,G,,NA,post,NA
2862,PASS,,NA,,NA,post,NA
824,NOM,Role,Atr;S;P,,NA,NA,NA
