session.id	speaker.id	word.id	morphemes	word.transcription	glosses	types	ids	record.id	subcorpus	genre	spkr.age	pref.seq	cat.seq	bigram.type	left	subj.marker	ref.marker	ref.category	sesh.seq	prime.distance	prime.cat.seq	prime.subj.marker	prime.seq	prime.subj	lex.stem
ctn_talk01	83	1036927	kha u nek no nɨŋ	khauneknɨknɨŋ	1nsP 3nsS/A bite IND.NPST NEG	prefix prefix stem suffix suffix	655 1201 2489 2330 2457	ctn_talk01.034	adult	Conversation	8030	kha.u	pat.ag	"ag,pat"	FALSE	u	kha	obj	34	1	pat.ag	u	33	right	/ŋek/ 'bite'
clldch1r04s06a	84	247823	u mai lis yokt a ŋs e	umaliyoktaŋse	3nsS/A NEG be NEG PST PRF IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 1558 2460 1202 6702 1234	CLLDCh1R04S06a.1003	CLLD	Conversation	15572	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	1003	Inf	NA	NA	#NAME?	unknown	/lis/ 'be'
clldch1r04s06b	84	252719	u mai lis yokt a ŋs e	umailioktaŋse	3nsS/A NEG be NEG PST PRF IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 1558 2460 1202 6702 1234	CLLDCh1R04S06b.1113	CLLD	Conversation	15572	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	1113	Inf	NA	NA	#NAME?	unknown	/lis/ 'be'
clldch1r04s02	84	236265	mai ta u thapt t u ŋs e	mantauthaptoŋse	NEG FOC 3nsS/A bring.across NEG 3P PRF IND.PST	prefix stem prefix stem suffix suffix suffix suffix	1199 496 1201 2260 2458 2459 6702 1234	CLLDCh1R04S02.0860	CLLD	Conversation	15568	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	860	335	neg.ag	u	525	right	/thapt/ 'bring.across'
clldch3r08s07	85	677038	a mai khag th u ŋs e	amakhaŋtoŋseʔ	2S/A NEG see NEG 3P PRF IND.PST	prefix prefix stem suffix suffix suffix suffix	654 1199 1366 2458 2459 6702 1234	CLLDCh3R08S07.707	CLLD	Conversation	3238	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	707	594	ag.neg	a	113	left	/khag/ 'watch'
clldch3r08s07	85	677066	a mai khems th e	amaikhemteʔ	2S/A NEG listen NEG IND.PST	prefix prefix stem suffix suffix	654 1199 1370 2458 1234	CLLDCh3R08S07.723	CLLD	Conversation	3238	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	723	16	ag.neg	a	707	left	/khems/ 'listen'
clldch3r02s06	85	594220	mai u ta ŋs e	manotaŋse	NEG 3nsS/A come PRF IND.PST	prefix prefix stem suffix suffix	1199 1201 2192 6702 1234	CLLDCh3R02S06.792	CLLD	Conversation	3057	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	792	780	ag.neg	a	12	left	/ta/ 'come'
pear_9-3	86	1202226	mai a mitt e	maamiʔte	NEG 2S/A remember IND.PST	prefix prefix stem suffix	1199 654 301 1234	pear_9-3.067	adult	Experimental	8212	mai.a	neg.ag	"ag,neg"	FALSE	a	mai	neg	67	Inf	NA	NA	#NAME?	unknown	/mitt/ 'think'
clldch1r06s01	87	273204	mai a nis t e	maianite	NEG 2S/A know NEG IND.PST	prefix prefix stem suffix suffix	1199 654 335 2458 1234	CLLDCh1R06S01.1980	CLLD	Conversation	2871	mai.a	neg.ag	"ag,neg"	FALSE	a	mai	neg	1980	298	ag.neg	u	1682	left	/ŋis/ 'know'
clldch1r03s03	87	224656	mai a pid th e hẽ	maiapitehẽ	NEG 2S/A give NEG IND.PST ePST	prefix prefix stem suffix suffix suffix	1199 654 363 2458 1234 1234	CLLDCh1R03S03.1082	CLLD	Conversation	2780	mai.a	neg.ag	"ag,neg"	FALSE	a	mai	neg	1082	78	neg.ag	u	1004	right	/pid/ 'give'
mechacha_talk	88	1160397	u mai pid yokt a ŋ e	umaipiyoktehe	3sA NEG give NEG PST 1sS/P IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 363 2460 1202 2875 1234	mechacha_talk.305	adult	Conversation	24739	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	305	Inf	NA	NA	#NAME?	unknown	/pid/ 'give'
clldch4r02s03	89	791292	mai u lud yokt a ŋ e	maiuluyoktehè	NEG 3nsS/A tell NEG PST 1sS/P IND.PST	prefix prefix stem suffix suffix suffix suffix	1199 1201 1575 2460 1202 2875 1234	CLLDCh4R02S03.2463	CLLD	Conversation	11538	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	2463	Inf	NA	NA	#NAME?	unknown	/lud/ 'say.to'
clldch2r05s03	90	430766	mai u pok th a ŋs e	maiupoktaŋse	NEG 3nsS/A get.up NEG PST PRF IND.PST	prefix prefix stem suffix suffix suffix suffix	1199 1201 365 2458 1202 6702 1234	CLLDCh2R05S03.0585	CLLD	Conversation	2828	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	585	Inf	NA	NA	#NAME?	unknown	/pok/ 'stand.up'
khebak_tale	91	1131437	kha a mett no	khaameʔno	1nsP 2S/A do.with/to IND.NPST	prefix prefix stem suffix	655 654 294 2330	khebak_tale.112	adult	Narrative	5329	kha.a	pat.ag	"ag,pat"	FALSE	a	kha	obj	112	Inf	NA	NA	#NAME?	unknown	/mett/ 'do.with/to'
pear_13-1	92	1183142	mai u cekt yokt a yakt e	maiucekyaktakte	NEG 3nsS/A say NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix	1199 1201 45 2460 1202 6674 1234	pear_13-1.108	adult	Experimental	12544	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	108	Inf	NA	NA	#NAME?	unknown	/cekt/ 'say'
pear_10-1	92	1180815	mai yaŋ u cekt yokt a k e	maiyaŋucekyaktake	NEG ADD 3nsS/A speak NEG PST IPFV IND.PST	prefix stem prefix stem suffix suffix suffix suffix	1199 2450 1201 45 2460 1202 ROS38 1234	pear_10-1.341	adult	Experimental	12616	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	341	Inf	NA	NA	#NAME?	unknown	/cekt/ 'say'
pear_13-1	92	1183618	mai yaŋ u cekt yokt e	maiyaŋucekyakte	NEG ADD 3nsS/A speak NEG IND.PST	prefix stem prefix stem suffix suffix	1199 2450 1201 45 2460 1234	pear_13-1.256	adult	Experimental	12544	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	256	45	neg.ag	u	211	right	/cekt/ 'say'
