LID,AUTOTYPLabel,Exponence,Roles,HostCat,Slot,Position.binned5,Behavior.binned4,Language,Stock
6,OBJECT case,Role,NA,N,NA,post,final,Ambulas,Sepik
6,NA,Role,NA,,NA,NA,NA,Ambulas,Sepik
6,NA,,NA,,NA,NA,NA,Ambulas,Sepik
6,NEG,,NA,,NA,post,NA,Ambulas,Sepik
6,PLURAL,Number,NA,N-kin,NA,post,NA,Ambulas,Sepik
6,GEN,Role,NA,N_or_Pro,NA,post,NA,Ambulas,Sepik
7,POSS-AGR,Number;Person,NA,,NA,prae,NA,Abkhaz,West Caucasian
7,NOM,Role,S;T;Aditr;Atr;P;G,,NA,NA,NA,Abkhaz,West Caucasian
7,PAST,TAM,NA,,NA,NA,NA,Abkhaz,West Caucasian
7,AGR,Number;Person;Role,Atr;T;P;Aditr;S,,NA,NA,NA,Abkhaz,West Caucasian
7,NEG,Polarity,NA,V,NA,prae,NA,Abkhaz,West Caucasian
7,PLURAL,Number,NA,,NA,post,NA,Abkhaz,West Caucasian
9,O-AGR,Number;Person;Role,NA,VP,NA,post,final,Acehnese,Austronesian
9,A-AGR,Clusivity;Honorificity;Person;Role,NA,V,1,prae,NA,Acehnese,Austronesian
9,A-AGR,Clusivity;Honorificity;Person;Role,NA,V,1,prae,NA,Acehnese,Austronesian
9,NEG,,NA,,NA,prae,NA,Acehnese,Austronesian
9,A-AGR,Clusivity;Honorificity;Person;Role,NA,V,1,prae,NA,Acehnese,Austronesian
9,A-AGR,Clusivity;Honorificity;Person;Role,NA,V,1,prae,NA,Acehnese,Austronesian
9,A-AGR,Clusivity;Honorificity;Person;Role,NA,V,1,prae,NA,Acehnese,Austronesian
9,ERG,Role,NA,,NA,prae,NA,Acehnese,Austronesian
9,O-AGR,Clusivity;Honorificity;Number;Role,NA,VP,3,post,final,Acehnese,Austronesian
9,O-AGR,Clusivity;Honorificity;Person;Role,NA,VP,3,post,final,Acehnese,Austronesian
9,O-AGR,Clusivity;Honorificity;Person;Role,NA,VP,3,post,final,Acehnese,Austronesian
9,O-AGR,Clusivity;Honorificity;Number;Role,NA,VP,3,post,final,Acehnese,Austronesian
9,A-AGR,Clusivity;Person,S;Atr;Aditr;T;P,V,NA,prae,NA,Acehnese,Austronesian
9,ABS,,Aditr;Atr;S;T;P,,NA,NA,NA,Acehnese,Austronesian
9,O-AGR,Clusivity;Honorificity;Person;Role,NA,VP,3,post,final,Acehnese,Austronesian
9,<none>,Number,NA,,NA,NA,NA,Acehnese,Austronesian
10,NOM,Role,Atr;S;P,,NA,NA,NA,Acoma,Keresan
10,PLURAL,Number,NA,,NA,post,NA,Acoma,Keresan
10,Possessive prefix,,NA,,NA,prae,NA,Acoma,Keresan
10,NEG,Mood;Polarity,NA,V,NA,simul,NA,Acoma,Keresan
10,AGR,,S;Atr;P,,NA,prae,NA,Acoma,Keresan
10,<none>,Number;Person;TAM,NA,,NA,prae,NA,Acoma,Keresan
11,NA,,NA,,NA,NA,NA,Aikaná,Aikaná
12,AGR,Number;Person;Role,Atr;S,V,-2,NA,NA,Ainu,Ainu
12,<none>,,NA,,NA,NA,NA,Ainu,Ainu
12,AGR,Number;Person;Role,Atr,V,-2,prae,NA,Ainu,Ainu
12,AGR,Number;Person;Role,P,V,-1,prae,NA,Ainu,Ainu
12,AGR,Number;Person;Role,P;Atr;S,V,-2,prae,NA,Ainu,Ainu
12,NA,,NA,N,NA,NA,NA,Ainu,Ainu
12,NOM,Role,G;Aditr;P;Atr;S;T,,NA,NA,NA,Ainu,Ainu
12,NEG,Polarity,NA,VP,NA,prae,initial,Ainu,Ainu
12,AGR,Number;Person;Role,P;G;Atr;Aditr;S,V,NA,split,NA,Ainu,Ainu
12,AGR,Number;Person;Role,P,V,-1,prae,NA,Ainu,Ainu
12,NA,,NA,N,NA,NA,NA,Ainu,Ainu
12,AGR,Number;Person;Role,P;Atr;S,V,-2,NA,NA,Ainu,Ainu
12,AGR,Number;Person;Role,S,V,1,NA,NA,Ainu,Ainu
13,NA,,NA,,NA,NA,NA,Aiwo,Austronesian
14,NA,,NA,,NA,NA,NA,Alamblak,Sepik
14,NOM,Role,Atr;T;Aditr;G;S;P,,NA,NA,NA,Alamblak,Sepik
14,NEG.FOC,Polarity,NA,,NA,prae,NA,Alamblak,Sepik
14,PLURAL,Number,NA,,NA,post,NA,Alamblak,Sepik
14,NEG,Polarity,NA,V,NA,prae,NA,Alamblak,Sepik
14,SS,,NA,,NA,NA,NA,Alamblak,Sepik
14,TENSE,TAM,NA,,NA,NA,NA,Alamblak,Sepik
14,AGR,,Aditr;G;S;T;Atr;P,V,NA,post,NA,Alamblak,Sepik
15,NOM,Role,Atr;Aditr;S,,NA,in,NA,Akkadian,Semitic
15,ACC,Role,T;P;G,,NA,in,NA,Akkadian,Semitic
15,ATTR,,NA,N,NA,NA,NA,Akkadian,Semitic
15,S/A-AGR,Gender;Number;Person;Role,Aditr;S;Atr,V,NA,simul,NA,Akkadian,Semitic
15,DAT,Role,G,,NA,prae,initial,Akkadian,Semitic
15,S.CONSTR,,NA,N,NA,NA,NA,Akkadian,Semitic
15,GEN,,NA,N,NA,NA,NA,Akkadian,Semitic
16,NA,,NA,N,NA,post,NA,Alawa,Maran
16,NA,Role,NA,N_or_Pro,NA,NA,NA,Alawa,Maran
17,NEG,,NA,,NA,prae,NA,Albanian,Indo-European
17,S/A-AGR,,Atr;S;Aditr,V,NA,NA,NA,Albanian,Indo-European
17,ACC,Role,P;T,,NA,post,NA,Albanian,Indo-European
17,ATTR,,NA,Adj; N_or_Pro; Ord,NA,prae,NA,Albanian,Indo-European
17,NOM,Person,T;P;Aditr;S;Atr,,NA,NA,NA,Albanian,Indo-European
17,PLURAL,Number,NA,,NA,post,NA,Albanian,Indo-European
18,POSS-AGR,Number;Person;Role,NA,N,NA,post,NA,Aleut,Eskimo-Aleut
18,GEN,Number;Role,NA,N_or_Pro,NA,post,NA,Aleut,Eskimo-Aleut
19,NA,,NA,,NA,NA,NA,Alsea,Alsean
20,Possessive suffix,Number;Person,NA,,NA,post,NA,Amele,Madang
20,SS/DS,,NA,,NA,NA,NA,Amele,Madang
20,OR,,NA,,NA,NA,NA,Amele,Madang
20,NEG,,NA,,NA,NA,NA,Amele,Madang
20,IMMED PST,Tense,NA,,NA,post,NA,Amele,Madang
20,PLURAL,Number,NA,N-inal; N-kin,NA,post,NA,Amele,Madang
20,COND,,NA,,NA,NA,NA,Amele,Madang
20,PURP,,NA,,NA,NA,NA,Amele,Madang
20,GEN,Role,NA,N_or_Pro,NA,post,NA,Amele,Madang
20,BUT,,NA,,NA,NA,NA,Amele,Madang
20,NOM,Role,S;Atr;P,,NA,NA,NA,Amele,Madang
21,<none>,Referential;Role,Atr;S;Aditr;T;P,,NA,NA,NA,Amharic,Semitic
21,S/A-AGR,Number;Person;Role,S;Atr;P,V,NA,post,NA,Amharic,Semitic
21,S/A-AGR,Number;Person;Role,S;Atr,V,1PFV,post,NA,Amharic,Semitic
21,S/A-AGR,Number;Person;Role,Atr;S,V,1PFV,post,NA,Amharic,Semitic
21,O-AGR,Number;Person;Role,P,V,2,post,NA,Amharic,Semitic
21,DAT,Referential;Role,G;P,,NA,prae,initial,Amharic,Semitic
21,O-AGR,Number;Person;Role,NA,V,NA,post,NA,Amharic,Semitic
21,S/A-AGR,Number;Person;Role,Atr;S,V,-1,prae,NA,Amharic,Semitic
21,POSS,,NA,,NA,in,NA,Amharic,Semitic
21,O-AGR,Number;Person;Role,P,V,2,post,NA,Amharic,Semitic
21,S/A-AGR,Number;Person;Role,S;Atr,V,-1,prae,NA,Amharic,Semitic
21,POSS-AGR,Gender;Number;Person;Referential,NA,N_or_Pro; Adj,NA,post,NA,Amharic,Semitic
21,S/A-AGR,Number;Person;Role,Atr;S,V,1PFV,post,NA,Amharic,Semitic
21,GEN,Role,NA,N_or_Pro; Nv,NA,prae,initial,Amharic,Semitic
21,S/A-AGR,Number;Person;Role,Atr;S,V,1PFV,post,NA,Amharic,Semitic
21,S/A-AGR,Number;Person;Role,S;Atr,V,-1,prae,NA,Amharic,Semitic
21,O-AGR,Number;Person;Role,P,V,2,post,NA,Amharic,Semitic
21,ACC,Referential;Role,T;P;G;S,,NA,post,initial,Amharic,Semitic
21,O-AGR,Number;Person;Role,P,V,2,post,NA,Amharic,Semitic
21,S/A-AGR,Number;Person;Role,S;Atr,V,-1,prae,NA,Amharic,Semitic
21,S/A-AGR,Number;Person;Role,S;Atr,V,1PFV,post,NA,Amharic,Semitic
21,O-AGR,Number;Person;Role,P,V,2,post,NA,Amharic,Semitic
21,S/A-AGR,Number;Person;Role,Atr;S,V,-1,prae,NA,Amharic,Semitic
21,S/A-AGR,Number;Person;Role,S;Atr,V,1PFV,post,NA,Amharic,Semitic
21,S/A-AGR,Number;Person;Role,Atr;S,V,1IMPF,post,NA,Amharic,Semitic
21,S/A-AGR,Number;Person;Role,S;Atr,V,1IMPF,post,NA,Amharic,Semitic
21,O-AGR,Number;Person;Role,P,V,2,post,NA,Amharic,Semitic
22,NOM,Role,S;Atr;P,,NA,NA,NA,Anêm,West New Britain
22,P-AGR,Number;Person;Role,NA,V,1,post,NA,Anêm,West New Britain
22,S/A-AGR,Number;Person;Role,Aditr;S;Atr,V,NA,prae,NA,Anêm,West New Britain
22,P-AGR,Number;Person;Role,NA,V,1,post,NA,Anêm,West New Britain
22,PLURAL,Number,NA,,NA,post,NA,Anêm,West New Britain
22,P-AGR,Number;Person;Role,NA,V,1,post,NA,Anêm,West New Britain
22,S/A-AGR,Number;Person;Role,NA,V,-1,prae,NA,Anêm,West New Britain
22,P-AGR,Number;Person;Role,NA,V,1,post,NA,Anêm,West New Britain
22,S/A-AGR,Number;Person;Role,NA,V,-1,prae,NA,Anêm,West New Britain
22,P-AGR,Number;Person;Role,NA,V,1,post,NA,Anêm,West New Britain
22,AGR,Number;Person;Role,P;S;Atr;G;Aditr,V,NA,NA,NA,Anêm,West New Britain
22,P-AGR,Number;Person;Role,NA,V,1,post,NA,Anêm,West New Britain
22,NEG,Polarity,NA,S,NA,post,final,Anêm,West New Britain
22,S/A-AGR,Number;Person;Role,NA,V,-1,prae,NA,Anêm,West New Britain
22,S/A-AGR,Number;Person;Role,NA,V,-1,prae,NA,Anêm,West New Britain
22,NA,PossClass,NA,,NA,NA,NA,Anêm,West New Britain
22,S/A-AGR,Number;Person;Role,NA,V,-1,prae,NA,Anêm,West New Britain
22,S/A-AGR,Number;Person;Role,NA,V,-1,prae,NA,Anêm,West New Britain
22,P-AGR,Number;Person;Role,G;P,V,NA,post,NA,Anêm,West New Britain
22,P-AGR,Number;Person;Role,NA,V,1,post,NA,Anêm,West New Britain
23,NOM,Gender;Role,S;Atr,N; Adj,NA,post,NA,Arabic,Semitic
23,ACC,Role,P,NP,NA,NA,spreading,Arabic,Semitic
23,NA,,NA,,NA,NA,NA,Arabic,Semitic
23,NA,,NA,N,NA,NA,NA,Arabic,Semitic
23,Construct state,Construct,NA,,NA,in,NA,Arabic,Semitic
23,NEG,Polarity,NA,V,NA,NA,NA,Arabic,Semitic
23,AGR,Gender;Number;Referential;Role,NA,Adj,NA,NA,NA,Arabic,Semitic
23,S/A-AGR,Gender;Number;Person;Role,Atr;S,V,NA,prae,NA,Arabic,Semitic
24,NA,,NA,,NA,NA,NA,Arapesh,Torricelli
24,NA,,NA,,NA,NA,NA,Arapesh,Torricelli
25,S/A-AGR,Number;Person;Role,S;Atr;Aditr,V,NA,post,NA,Armenian (Eastern),Indo-European
25,NOM,Role,Atr;Aditr;S;P;T,N_or_Pro,NA,NA,NA,Armenian (Eastern),Indo-European
25,S/A-AGR,Number;Person;Role,Aditr;Atr;S,V,1,post,NA,Armenian (Eastern),Indo-European
25,S/A-AGR,Number;Person;Role,Atr;S;Aditr,V,1,post,NA,Armenian (Eastern),Indo-European
25,S/A-AGR,Number;Person;Role,Atr;Aditr;S,V,1,post,NA,Armenian (Eastern),Indo-European
25,S/A-AGR,Number;Person;Role,S;Atr;Aditr,V,1,post,NA,Armenian (Eastern),Indo-European
25,S/A-AGR,Number;Person;Role,Aditr;Atr;S,V,1,post,NA,Armenian (Eastern),Indo-European
25,NEG,Polarity,NA,V,NA,prae,NA,Armenian (Eastern),Indo-European
25,ACC/DAT,Role,NA,N_or_Pro,NA,post,final,Armenian (Eastern),Indo-European
25,S/A-AGR,Number;Person;Role,Atr;Aditr;S,V,1,post,NA,Armenian (Eastern),Indo-European
26,PRONOUN,Number;Person,NA,,NA,NA,NA,Asmat,Macro-Ok
26,O-AGR,Number;Person;Role,NA,V,NA,post,NA,Asmat,Macro-Ok
26,S/A-AGR,Number;Person;Role,S;Atr,V,2,post,NA,Asmat,Macro-Ok
26,S/A-AGR,Number;Person;Role,Atr;S,V,2,post,NA,Asmat,Macro-Ok
26,TAM,Tense,NA,,NA,NA,NA,Asmat,Macro-Ok
26,S/A-AGR,Number;Person;Role,Atr;P;S,V,NA,post,NA,Asmat,Macro-Ok
26,O-AGR,Number;Person;Role,P,V,1,post,NA,Asmat,Macro-Ok
26,S/A-AGR,Number;Person;Role,S;Atr,V,2,post,NA,Asmat,Macro-Ok
26,O-AGR,Number;Person;Role,P,V,1,post,NA,Asmat,Macro-Ok
26,<none>,,NA,,NA,NA,NA,Asmat,Macro-Ok
26,S/A-AGR,Number;Person;Role,S;Atr,V,2,post,NA,Asmat,Macro-Ok
26,S/A-AGR,Number;Person;Role,S;Atr,V,2,post,NA,Asmat,Macro-Ok
26,PLURAL,Number,NA,N-kin,NA,post,NA,Asmat,Macro-Ok
26,NOM,Role,S;P;Atr,,NA,NA,NA,Asmat,Macro-Ok
27,P-AGR,Number;Person;Role,P,V,-1,prae,NA,Atakapa,Atakapa
27,S/A-AGR,Number;Person;Role,Atr;S,V,1,post,NA,Atakapa,Atakapa
27,P-AGR,Number;Person;Role,NA,V,NA,prae,NA,Atakapa,Atakapa
27,S/A-AGR,Number;Person;Role,S;Atr,V,1,post,NA,Atakapa,Atakapa
27,<none>,Role,P;Atr;S,,NA,NA,NA,Atakapa,Atakapa
27,<none>,,NA,,NA,NA,NA,Atakapa,Atakapa
27,P-AGR,Number;Person;Role,P,V,-1,prae,NA,Atakapa,Atakapa
27,P-AGR,Number;Person;Role,P,V,-1,prae,NA,Atakapa,Atakapa
27,P-AGR,Number;Person;Role,P,V,-1,prae,NA,Atakapa,Atakapa
27,S/A-AGR,Number;Person;Role,S;Atr;P,V,NA,post,NA,Atakapa,Atakapa
27,S/A-AGR,Number;Person;Role,S;Atr,V,1,post,NA,Atakapa,Atakapa
27,Perfect,Tense,NA,,NA,post,NA,Atakapa,Atakapa
27,P-AGR,Number;Person;Role,P,V,-1,prae,NA,Atakapa,Atakapa
27,P-AGR,Number;Person;Role,P,V,-1,prae,NA,Atakapa,Atakapa
27,S/A-AGR,Number;Person;Role,S;Atr,V,1,post,NA,Atakapa,Atakapa
28,NOM,Role,P;S;Atr;Aditr;T,,NA,NA,NA,Awtuw,Sepik
28,ACC,Role,P;G;T,NP,NA,post,final,Awtuw,Sepik
28,INSTR,Role,G;P,NP,NA,post,NA,Awtuw,Sepik
28,PLURAL,Number,NA,,NA,post,NA,Awtuw,Sepik
28,LOC,Role,P;G,NP,NA,post,NA,Awtuw,Sepik
28,S/A-AGR,Role,Atr;S;Aditr,V,6,post,NA,Awtuw,Sepik
28,NEG,Polarity,NA,V,NA,prae,NA,Awtuw,Sepik
28,NEG,Polarity,NA,XP,NA,prae,NA,Awtuw,Sepik
28,S/A-AGR,Number;Role,Aditr;S;Atr,,NA,NA,NA,Awtuw,Sepik
28,S/A-AGR,Number;Role,S;Aditr;Atr,V,-3,prae,NA,Awtuw,Sepik
28,NA,,NA,N_or_Pro,NA,NA,NA,Awtuw,Sepik
29,S/A-AGR,Gender;Person;Referential;Role,S;Atr,V,NA,prae,NA,Axininca Campa,Arawakan
29,NOM,Role,Atr;S;P,,NA,NA,NA,Axininca Campa,Arawakan
31,NA,Role,NA,N_or_Pro,NA,post,NA,Barai,Koiarian
31,NOM,Role,Atr;P;S;Aditr;T;G,,NA,NA,NA,Barai,Koiarian
31,O-AGR,Number;Person;Role,G;P,V,NA,post,NA,Barai,Koiarian
32,ABS,Role,Atr;S;P;G;T,,NA,NA,NA,Basque,Basque
32,LOC,Role,P;G,NP,NA,post,final,Basque,Basque
32,PLURAL,Number,NA,,NA,post,NA,Basque,Basque
32,INSTR,Role,T;P,NP,NA,post,final,Basque,Basque
32,NEG,Polarity,NA,V,NA,prae,NA,Basque,Basque
32,ERG,Role,Aditr;S;Atr,NP,NA,post,final,Basque,Basque
32,DAT,Role,Atr;G;P,NP,NA,post,final,Basque,Basque
32,GEN,Role,NA,N_or_Pro,NA,post,NA,Basque,Basque
32,PAST,TAM,NA,V,NA,post,NA,Basque,Basque
33,ABS,Role,NA,N_or_Pro,NA,NA,NA,Bauzi,East Cenderawasih Bay
33,NEG,Polarity,NA,,NA,post,NA,Bauzi,East Cenderawasih Bay
33,ERG,Role,NA,N_or_Pro,NA,post,final,Bauzi,East Cenderawasih Bay
33,GEN,Role,NA,N_or_Pro,NA,post,NA,Bauzi,East Cenderawasih Bay
34,ACC,Role,P,,NA,post,NA,Beja,Beja
34,Possessive suffix,Number;Person,NA,,NA,post,NA,Beja,Beja
34,GEN,Role,NA,N,NA,post,NA,Beja,Beja
34,PLURAL,Number,NA,,NA,post,NA,Beja,Beja
34,TENSE,Tense,NA,,NA,NA,NA,Beja,Beja
35,ABS,Role,S;Atr;P;T;G;Aditr,,NA,prae,final,Belhare,Sino-Tibetan
35,A-AGR,Number;Person;Role,NA,V,NA,split,NA,Belhare,Sino-Tibetan
35,AGR,Number;Person;Role,Atr;S,V,-3,prae,NA,Belhare,Sino-Tibetan
35,AGR,Number,Atr;P;S,V,4,post,NA,Belhare,Sino-Tibetan
35,AGR,Number;Person;Role,P,V,-1,prae,NA,Belhare,Sino-Tibetan
35,AGR,Person;Role,P,V,5,post,NA,Belhare,Sino-Tibetan
35,AGR,Number;Person;Role,Atr;P,V,3,post,NA,Belhare,Sino-Tibetan
35,ERG,Role,Atr;Aditr;P,NP,NA,post,final,Belhare,Sino-Tibetan
35,AGR,Number,P;Atr;S,V,4,post,NA,Belhare,Sino-Tibetan
35,AGR,Person;Role,Atr;S,V,9,post,NA,Belhare,Sino-Tibetan
35,AGR,Person,Atr;P;S,V,9,post,NA,Belhare,Sino-Tibetan
35,AGR,Number;Person;Role,Atr,V,7,post,NA,Belhare,Sino-Tibetan
35,AGR,Number;Person;Role,P;Atr,V,8,post,NA,Belhare,Sino-Tibetan
35,PAST,TAM,NA,V,NA,post,NA,Belhare,Sino-Tibetan
35,ART.DEF,,NA,Adj,NA,NA,NA,Belhare,Sino-Tibetan
35,S-AGR,Number;Person;Role,NA,,NA,split,NA,Belhare,Sino-Tibetan
35,PASS,,NA,V,NA,post,NA,Belhare,Sino-Tibetan
35,POSS-AGR,Number;Person;Role,S,NP,NA,prae,final,Belhare,Sino-Tibetan
35,BENEF,Role,NA,,NA,post,final,Belhare,Sino-Tibetan
35,NMZR,,Atr;S;Aditr,,NA,simul,NA,Belhare,Sino-Tibetan
35,INF,,NA,,NA,post,NA,Belhare,Sino-Tibetan
35,AGR,Number;Person;Role,Atr,V,7,post,NA,Belhare,Sino-Tibetan
35,ERG,Role,NA,NP,NA,post,final,Belhare,Sino-Tibetan
35,ADD,,NA,,NA,NA,NA,Belhare,Sino-Tibetan
35,NA,,NA,,NA,NA,NA,Belhare,Sino-Tibetan
35,GEN,Role,NA,NP,NA,post,final,Belhare,Sino-Tibetan
35,POSS-AGR,Number;Person;Role,NA,NP,NA,prae,final,Belhare,Sino-Tibetan
35,O-AGR,Number;Person;Role,S;P;Aditr;Atr;G,,NA,split,NA,Belhare,Sino-Tibetan
35,PLURAL,Number,NA,N-anim,NA,post,NA,Belhare,Sino-Tibetan
35,NA,,NA,,NA,NA,NA,Belhare,Sino-Tibetan
35,SS,,NA,V,NA,post,NA,Belhare,Sino-Tibetan
35,SUP,,NA,V,NA,post,NA,Belhare,Sino-Tibetan
35,AGR,Number;Person;Role,P,V,-1,prae,NA,Belhare,Sino-Tibetan
35,NMZR,,NA,Adj; DEM,NA,NA,NA,Belhare,Sino-Tibetan
35,COM,,NA,,NA,NA,NA,Belhare,Sino-Tibetan
35,NEG,Polarity,NA,V,NA,simul,NA,Belhare,Sino-Tibetan
35,AGR,Number;Person;Role,P,V,1,prae,NA,Belhare,Sino-Tibetan
35,NA,,NA,,NA,NA,NA,Belhare,Sino-Tibetan
36,NEG,Polarity,NA,,NA,post,NA,Berik,Orya-Mawes-Tor-Kwerba
36,GEN,Role,NA,,NA,post,NA,Berik,Orya-Mawes-Tor-Kwerba
36,<none>,,NA,,NA,NA,NA,Berik,Orya-Mawes-Tor-Kwerba
38,NOM,Role,P;Atr;S,,NA,NA,NA,Boazi,Marind
38,NA,,NA,N,NA,prae,NA,Boazi,Marind
38,NEG,Polarity,NA,,NA,post,NA,Boazi,Marind
38,NA,Role,NA,Pro,NA,NA,NA,Boazi,Marind
38,NA,,NA,,NA,post,NA,Boazi,Marind
39,DAT,Role,NA,NP,NA,prae,NA,Buru,Austronesian
39,Pronom. subject,Number;Person;Role,NA,V,NA,prae,NA,Buru,Austronesian
39,Pronom. object,Number;Person;Role,NA,V,NA,post,NA,Buru,Austronesian
39,PLURAL,Number,NA,,NA,post,final,Buru,Austronesian
39,NOM,Role,NA,,NA,NA,NA,Buru,Austronesian
39,Possessive suffix,Number;Person,NA,,NA,post,NA,Buru,Austronesian
39,ALL,Role,NA,NP,NA,prae,NA,Buru,Austronesian
40,PAST,TA,NA,V,NA,post,NA,Burushaski,Burushaski
40,NEG,Polarity,NA,V,NA,prae,NA,Burushaski,Burushaski
40,CVB,,NA,,NA,NA,NA,Burushaski,Burushaski
40,GEN,Role,NA,N,NA,post,NA,Burushaski,Burushaski
40,PLURAL,Number,NA,,NA,post,NA,Burushaski,Burushaski
40,ERG,Role,NA,N_or_Pro,NA,post,final,Burushaski,Burushaski
40,AGR,Gender;Number;Person,NA,V; Adj; N; Num,NA,prae,NA,Burushaski,Burushaski
43,GEN,Role,NA,,NA,post,NA,Canela-Krahô,Macro-Ge
43,NEG,Polarity,NA,XP,NA,post,final,Canela-Krahô,Macro-Ge
43,PLURAL,Number,NA,N-hum,NA,NA,NA,Canela-Krahô,Macro-Ge
43,NOM,,NA,,NA,NA,NA,Canela-Krahô,Macro-Ge
43,PAST,Tense,NA,,NA,NA,NA,Canela-Krahô,Macro-Ge
43,Possessive prefix,Person,NA,,NA,prae,NA,Canela-Krahô,Macro-Ge
44,NEG,,NA,S,NA,prae,on head,Car,Austroasiatic
44,<none>,,NA,,NA,NA,NA,Car,Austroasiatic
45,ABS,Role,Atr;S;P;T;G,NP,NA,NA,NA,Cashinahua,Pano-Tacanan
45,PLURAL,Number,NA,,NA,post,NA,Cashinahua,Pano-Tacanan
45,S/A-AGR,Number;Role,Aditr;Atr;S,V,NA,NA,NA,Cashinahua,Pano-Tacanan
45,ERG,Role,Atr;Aditr;S,NP,NA,post,final,Cashinahua,Pano-Tacanan
45,LOC,Role,G;P,,NA,post,final,Cashinahua,Pano-Tacanan
45,S/A-AGR,Number;Role,S;Aditr;Atr,V,4,NA,NA,Cashinahua,Pano-Tacanan
45,COM,Role,P,,NA,post,final,Cashinahua,Pano-Tacanan
47,Possessive circumfix,Number;Person,NA,,NA,simul,NA,Cayuvava,Cayuvava
47,PAST,TA,NA,,NA,prae,NA,Cayuvava,Cayuvava
47,NEG,Polarity,NA,V,NA,prae,NA,Cayuvava,Cayuvava
47,PLURAL,Number;Role,NA,,NA,prae,initial,Cayuvava,Cayuvava
47,NOM,,Atr;P;S,,NA,NA,NA,Cayuvava,Cayuvava
48,S-AGR,Number;Role,Atr;S,,NA,split,NA,Chamorro,Austronesian
48,A-AGR,Number;Person;Role,NA,,NA,prae,NA,Chamorro,Austronesian
48,S.CONSTR,Construct,NA,V,NA,prae,NA,Chamorro,Austronesian
48,<none>,Role,NA,,NA,NA,NA,Chamorro,Austronesian
48,GEN,Role,NA,,NA,NA,NA,Chamorro,Austronesian
48,NOM,Referential;Role,NA,Pro,NA,NA,NA,Chamorro,Austronesian
48,FUT,Number;Person;Role;Tense,NA,V,NA,prae,NA,Chamorro,Austronesian
48,POSS-AGR,Number;Person;Role,NA,,NA,post,NA,Chamorro,Austronesian
48,LINKER,Construct,NA,,NA,NA,NA,Chamorro,Austronesian
48,POSS_NOUN,PossSem;Role,NA,,NA,NA,NA,Chamorro,Austronesian
49,AGR,,P;Atr;G;T;S,V; V-aux,NA,prae,NA,Chechen,Nakh-Daghestanian
49,ABS,,S;Aditr;Atr;G;P;T,,NA,NA,NA,Chechen,Nakh-Daghestanian
49,AND,,NA,,NA,NA,NA,Chechen,Nakh-Daghestanian
49,ALL,Role,P;G;S,N; Pro,NA,post,spreading,Chechen,Nakh-Daghestanian
49,INSTR,Role,T,N; Pro,NA,post,spreading,Chechen,Nakh-Daghestanian
49,CVB,,NA,,NA,NA,NA,Chechen,Nakh-Daghestanian
49,CVB,,NA,,NA,NA,NA,Chechen,Nakh-Daghestanian
49,LOC,Role,Atr,N; Pro,NA,post,spreading,Chechen,Nakh-Daghestanian
49,CVB,,NA,,NA,NA,NA,Chechen,Nakh-Daghestanian
49,Gender,,NA,Adj,NA,prae,NA,Chechen,Nakh-Daghestanian
49,LAT,Role,P;T,N; Pro,NA,post,spreading,Chechen,Nakh-Daghestanian
49,ERG,Role,Aditr;Atr;S,,NA,post,spreading,Chechen,Nakh-Daghestanian
49,GEN,Role,NA,N_or_Pro,NA,post,NA,Chechen,Nakh-Daghestanian
49,DAT,Role,G;S;Atr;P,N; Pro,NA,post,spreading,Chechen,Nakh-Daghestanian
50,O-AGR,Number;Person;Role,G;P,V,NA,post,NA,Chichimec,Otomanguean
50,AGR,Number,NA,,NA,post,NA,Chichimec,Otomanguean
50,S/A-AGR,Number;Person;Role,Atr;S;Aditr,V,NA,prae,NA,Chichimec,Otomanguean
51,Person prefix,Number;Person,NA,,NA,prae,NA,Chimariko,Chimariko
51,NOM,,Atr;G;S;T;P;Aditr,,NA,NA,NA,Chimariko,Chimariko
51,NEG,Polarity,NA,V,NA,simul,NA,Chimariko,Chimariko
51,<none>,,NA,,NA,NA,NA,Chimariko,Chimariko
51,Person suffix,Number;Person,NA,,NA,post,NA,Chimariko,Chimariko
53,<none>,Role,Atr;P;S,,NA,NA,NA,Chitimacha,Chitimacha
53,NEG,Polarity,NA,V,NA,post,NA,Chitimacha,Chitimacha
53,PLURAL,Number,NA,N-hum,NA,post,NA,Chitimacha,Chitimacha
54,AGR,Number;Person;Role,P;G;Atr,V,-1,prae,NA,Choctaw,Muskogean
54,AGR,Number;Person;Role,P;G;Atr,V,-1,prae,NA,Choctaw,Muskogean
54,AGR,Number;Person;Role,Atr;P;G;S;Aditr;T,V,NA,split,NA,Choctaw,Muskogean
54,AGR,Number;Person;Role,Aditr;Atr;S,V,-3,prae,NA,Choctaw,Muskogean
54,AGR,Number;Person;Role,P;T;Atr;S,V,-2,prae,NA,Choctaw,Muskogean
54,Possessive prefix,,NA,N,NA,prae,NA,Choctaw,Muskogean
54,AGR,Number;Person;Role,NA,V,NA,prae,NA,Choctaw,Muskogean
54,AGR,Number;Person;Role,S;Atr;P;T,V,-2,prae,NA,Choctaw,Muskogean
54,AGR,Number;Person,NA,Adj,NA,prae,NA,Choctaw,Muskogean
54,ACC,Role,NA,NP,NA,post,final,Choctaw,Muskogean
54,AGR,Number;Person;Role,Aditr;Atr;S,V,-3,prae,NA,Choctaw,Muskogean
54,AGR,Number;Person;Role,Atr;P;G,V,-1,prae,NA,Choctaw,Muskogean
